id	director_name	num_critic_for_reviews	duration	director_facebook_likes	actor_3_facebook_likes	actor_2_name	actor_1_facebook_likes	gross	genres	actor_1_name	movie_title	num_voted_users	cast_total_facebook_likes	actor_3_name	plot_keywords	movie_imdb_link	num_user_for_reviews	language	country	content_rating	budget	title_year	actor_2_facebook_likes	imdb_score	movie_facebook_likes	genre_action	genre_adventure	genre_animation	genre_biography	genre_comedy	genre_crime	genre_documentary	genre_drama	genre_family	genre_fantasy	genre_film-noir	genre_history	genre_horror	genre_music	genre_musical	genre_mystery	genre_romance	genre_sci-fi	genre_sport	genre_thriller	genre_war	genre_western	adj_imdb_score	adj_title_year	adj_budget	adj_director_facebook_likes	adj_duration	adj_gross	adj_actor_1_facebook_likes	adj_actor_2_facebook_likes	adj_actor_3_facebook_likes	adj_movie_facebook_likes	adj_cast_total_facebook_likes	adj_content_rating	adj_num_voted_users
tt5574490		8.0	60.0	0.0	551.0	Daniella Alonso	1000.0	0.0	Crime|Drama	Dorian Missick	Animal Kingdom	3673	3026	Ellen Barkin	based on film|brother brother relationship|crime family|remake|southern california	http://www.imdb.com/title/tt5574490/?ref_=fn_tt_tt_1	23.0	English	USA	18	0.0	2002.0	557.0	8.1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8099999999999999	0.8426966292134831	0.0	0.0	0.11741682974559686	0.0	0.0015625	0.004065693430656934	0.023956521739130435	0.0	0.004607677432125835	1.0	0.002173676324031048
tt5215952	Hong-jin Na	77.0	156.0	43.0	0.0	Jun Kunimura	45.0	770629.0	Fantasy|Horror|Mystery|Thriller	Jung-min Hwang	The Wailing	2379	50	Woo-hee Chun	policeman|stranger|supernatural|village|vomiting	http://www.imdb.com/title/tt5215952/?ref_=fn_tt_tt_1	24.0	Korean	South Korea	18	0.0	2016.0	5.0	7.7	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0.77	1.0	0.0	0.0018695652173913043	0.30528375733855184	0.0010133110784617018	7.03125e-05	3.649635036496351e-05	0.0	0.0	7.61347890304996e-05	1.0	0.001407888912297812
tt5116280		1.0	45.0	0.0	119.0	Ash Cook	773.0	0.0	Drama|Thriller	James Nesbitt	The Secret	653	1393	Genevieve O'Reilly	adultery|baptist church|dentist|double murder|tv mini series	http://www.imdb.com/title/tt5116280/?ref_=fn_tt_tt_1	4.0	English	UK	18	0.0	2002.0	133.0	7.3	405	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.73	0.8426966292134831	0.0	0.0	0.08806262230919765	0.0	0.0012078125	0.0009708029197080292	0.0051739130434782605	0.001160458452722063	0.002121115222389719	1.0	0.00038644449757480926
tt5078326	Thomas Lilti	18.0	102.0	12.0	2.0	Félix Moati	541.0	0.0	Comedy|Drama	François Cluzet	Irreplaceable	389	553	Marianne Denicourt	doctor|hospital|mayor|no opening credits|title at the end	http://www.imdb.com/title/tt5078326/?ref_=fn_tt_tt_1	1.0	French	France	18	0.0	2016.0	8.0	7.2	36	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72	1.0	0.0	0.0005217391304347826	0.19960861056751467	0.0	0.0008453125	5.839416058394161e-05	8.695652173913044e-05	0.00010315186246418338	0.0008420507666773256	1.0	0.00023020966241439633
tt5001130	Charles Ferguson	6.0	100.0	117.0	0.0	Jerry Brown	21.0	29233.0	Documentary	Jane Goodall	Time to Choose	75	24	Peter Agnefjall		http://www.imdb.com/title/tt5001130/?ref_=fn_tt_tt_1	2.0	English	USA	18	3500000.0	2015.0	3.0	7.0	121	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0.9887640449438202	0.0002865212230363063	0.00508695652173913	0.19569471624266144	3.843888921474656e-05	3.28125e-05	2.18978102189781e-05	0.0	0.00034670487106017194	3.6544698734639804e-05	1.0	4.438489635239004e-05
tt4939066	John H. Lee	2.0	115.0	32.0	29.0	Dean Dawson	14000.0	31662.0	Action|Drama|History|War	Liam Neeson	Operation Chromite	90	14133	Jung-jae Lee		http://www.imdb.com/title/tt4939066/?ref_=fn_tt_tt_1	1.0	English	South Korea	18	12620000.0	2016.0	81.0	6.8	139	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0.6799999999999999	1.0	0.0010331136670623387	0.001391304347826087	0.22504892367906065	4.163281600647575e-05	0.021875	0.0005912408759124087	0.0012608695652173913	0.0003982808022922636	0.021520259467361014	1.0	5.326187562286805e-05
tt4877736		7.0	44.0	0.0	246.0	Megan Hilty	786.0	0.0	Comedy|Drama|Horror|Sci-Fi|Thriller	Danny Pino	BrainDead	2948	1551	Zach Grenier	brains|exploding head|politician|swarm behavior|washington d.c.	http://www.imdb.com/title/tt4877736/?ref_=fn_tt_tt_1	28.0	English	USA	18	0.0	2002.0	341.0	7.9	3000	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0.79	0.8426966292134831	0.0	0.0	0.08610567514677103	0.0	0.001228125	0.0024890510948905108	0.010695652173913044	0.008595988538681949	0.0023617011557260973	1.0	0.0017446223259579444
tt4871980	Bille Woodruff	12.0	96.0	23.0	503.0	Brandy Norwood	927.0	9658370.0	Comedy|Romance	Donald Faison	The Perfect Match	1180	3552	Lauren London		http://www.imdb.com/title/tt4871980/?ref_=fn_tt_tt_1	9.0	English	USA	17	5000000.0	2016.0	509.0	4.5	740	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.45	1.0	0.000409316032909009	0.001	0.18786692759295498	0.012699928656827276	0.0014484375	0.0037153284671532848	0.021869565217391303	0.002120343839541547	0.005408615412726692	0.9444444444444444	0.0006983223692776033
tt4824308	Harold Cronk	29.0	120.0	18.0	295.0	Robin Givens	634.0	20773070.0	Drama	Benjamin A. Onyango	God's Not Dead 2	4501	1810	Maria Canals-Barrera	alternate universe|christian|christian film|christianity|manipulation	http://www.imdb.com/title/tt4824308/?ref_=fn_tt_tt_1	102.0	English	USA	8	5000000.0	2016.0	420.0	3.4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33999999999999997	1.0	0.000409316032909009	0.000782608695652174	0.23483365949119372	0.027314806430409996	0.000990625	0.003065693430656934	0.012826086956521739	0.0	0.0027560793629040855	0.4444444444444444	0.002663685579761434
tt4786282	David F. Sandberg	159.0	81.0	26.0	300.0	Amiah Miller	2000.0	56536016.0	Horror	Billy Burke	Lights Out	13523	3344	Gabriel Bateman	based on short film|reference to avenged sevenfold|reference to slayer|switching lights on and off|two word title	http://www.imdb.com/title/tt4786282/?ref_=fn_tt_tt_1	95.0	English	USA	13	4900000.0	2016.0	509.0	6.9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.6900000000000001	1.0	0.00040112971225082886	0.0011304347826086956	0.15851272015655576	0.07434001490326478	0.003125	0.0037153284671532848	0.013043478260869565	0.0	0.005091894690359813	0.7222222222222222	0.00800289271164494
